Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,2002,42,Soria,1520,1.0,0.0657894736842105
0-4 años,Hombres,2002,43,Tarragona,14808,17.0,0.1148028092922744
0-4 años,Hombres,2002,44,Teruel,2476,0.0,0.0
0-4 años,Hombres,2002,45,Toledo,12131,10.0,0.0824334350012365
0-4 años,Hombres,2002,46,Valencia,49092,73.0,0.148700399250387
0-4 años,Hombres,2002,47,Valladolid,8679,14.0,0.1613089065560548
0-4 años,Hombres,2002,48,Bizkaia,22268,25.0,0.1122687264235674
0-4 años,Hombres,2002,49,Zamora,2841,2.0,0.0703977472720873
0-4 años,Hombres,2002,50,Zaragoza,18000,20.0,0.1111111111111111
0-4 años,Hombres,2002,51,Ceuta,2462,4.0,0.1624695369618196
0-4 años,Hombres,2002,52,Melilla,2582,8.0,0.3098373353989156
0-4 años,Hombres,2003,1,Álava,6172,4.0,0.0648088139987038
0-4 años,Hombres,2003,2,Albacete,9291,13.0,0.1399203530298138
0-4 años,Hombres,2003,3,Alicante,39383,45.0,0.1142624990478125
0-4 años,Hombres,2003,4,Almería,15865,16.0,0.1008509297195083
0-4 años,Hombres,2003,5,Ávila,2561,1.0,0.0390472471690745
0-4 años,Hombres,2003,6,Badajoz,16130,16.0,0.0991940483570985
0-4 años,Hombres,2003,7,Baleares,23986,26.0,0.1083965646627199
0-4 años,Hombres,2003,8,Barcelona,125086,129.0,0.1031290472155157
0-4 años,Hombres,2003,9,Burgos,7043,7.0,0.09938946471674
0-4 años,Hombres,2003,10,Cáceres,7734,2.0,0.025859839668994
0-4 años,Hombres,2003,11,Cádiz,30863,26.0,0.0842432686388231
0-4 años,Hombres,2003,12,Castellón,12229,10.0,0.0817728350641916
0-4 años,Hombres,2003,13,Ciudad Real,11185,13.0,0.116227089852481
0-4 años,Hombres,2003,14,Córdoba,19539,34.0,0.1740109524540662
0-4 años,Hombres,2003,15,A Coruña,19767,27.0,0.1365912885111549
0-4 años,Hombres,2003,16,Cuenca,4032,2.0,0.0496031746031746
0-4 años,Hombres,2003,17,Girona,15528,13.0,0.0837197320968572
0-4 años,Hombres,2003,18,Granada,16631,38.0,0.2284889663880704
0-4 años,Hombres,2003,19,Guadalajara,4497,0.0,0.0
0-4 años,Hombres,2003,20,Gipuzkoa,15797,11.0,0.069633474710388
0-4 años,Hombres,2003,21,Huelva,11584,8.0,0.0690607734806629
0-4 años,Hombres,2003,22,Huesca,4087,1.0,0.0244678248103743
0-4 años,Hombres,2003,23,Jaén,16221,21.0,0.1294618087664139
0-4 años,Hombres,2003,24,León,7536,8.0,0.1061571125265392
0-4 años,Hombres,2003,25,Lleida,8342,3.0,0.0359625988971469
0-4 años,Hombres,2003,26,La Rioja,6070,7.0,0.115321252059308
0-4 años,Hombres,2003,27,Lugo,4887,10.0,0.2046245140167792
0-4 años,Hombres,2003,28,Madrid,127809,204.0,0.1596131727812595
0-4 años,Hombres,2003,29,Málaga,34635,71.0,0.2049949473076367
0-4 años,Hombres,2003,30,Murcia,37310,62.0,0.1661752881265076
0-4 años,Hombres,2003,31,Navarra,14005,8.0,0.0571224562656194
0-4 años,Hombres,2003,32,Ourense,4675,4.0,0.0855614973262032
0-4 años,Hombres,2003,33,Asturias,16439,19.0,0.1155788064967455
0-4 años,Hombres,2003,34,Palencia,2842,0.0,0.0
0-4 años,Hombres,2003,35,Las Palmas,26768,34.0,0.1270173341303048
0-4 años,Hombres,2003,36,Pontevedra,18131,8.0,0.0441233246925155
0-4 años,Hombres,2003,37,Salamanca,5781,11.0,0.1902784985296661
0-4 años,Hombres,2003,38,Santa Cruz,20649,27.0,0.1307569373819555
0-4 años,Hombres,2003,39,Cantabria,10885,10.0,0.091869545245751
0-4 años,Hombres,2003,40,Segovia,2803,2.0,0.071352122725651
0-4 años,Hombres,2003,41,Sevilla,49370,74.0,0.1498885963135507
0-4 años,Hombres,2003,42,Soria,1519,2.0,0.1316655694535878
0-4 años,Hombres,2003,43,Tarragona,16087,19.0,0.1181077888978678
0-4 años,Hombres,2003,44,Teruel,2548,1.0,0.0392464678178963
0-4 años,Hombres,2003,45,Toledo,13140,12.0,0.091324200913242
0-4 años,Hombres,2003,46,Valencia,53496,78.0,0.145805293853746
0-4 años,Hombres,2003,47,Valladolid,9133,6.0,0.065695828314902
0-4 años,Hombres,2003,48,Bizkaia,22862,28.0,0.1224739742804654
0-4 años,Hombres,2003,49,Zamora,2904,5.0,0.1721763085399449
0-4 años,Hombres,2003,50,Zaragoza,18974,24.0,0.1264888795193422
0-4 años,Hombres,2003,51,Ceuta,2418,2.0,0.0827129859387924
0-4 años,Hombres,2003,52,Melilla,2519,5.0,0.1984914648670107
0-4 años,Hombres,2004,1,Álava,6496,5.0,0.0769704433497537
0-4 años,Hombres,2004,2,Albacete,9240,10.0,0.1082251082251082
0-4 años,Hombres,2004,3,Alicante,40539,32.0,0.078936332913984
0-4 años,Hombres,2004,4,Almería,16567,20.0,0.1207219170640429
0-4 años,Hombres,2004,5,Ávila,2600,2.0,0.0769230769230769
0-4 años,Hombres,2004,6,Badajoz,15789,15.0,0.0950028500855025
0-4 años,Hombres,2004,7,Baleares,24723,30.0,0.1213444970270598
0-4 años,Hombres,2004,8,Barcelona,131216,153.0,0.1166016339470796
0-4 años,Hombres,2004,9,Burgos,7151,6.0,0.083904349042092
0-4 años,Hombres,2004,10,Cáceres,8179,15.0,0.1833965032400049
0-4 años,Hombres,2004,11,Cádiz,31408,38.0,0.1209882832399388
0-4 años,Hombres,2004,12,Castellón,12695,8.0,0.0630169358014966
0-4 años,Hombres,2004,13,Ciudad Real,11115,12.0,0.1079622132253711
0-4 años,Hombres,2004,14,Córdoba,19858,31.0,0.1561083694229026
0-4 años,Hombres,2004,15,A Coruña,20237,17.0,0.0840045461283787
0-4 años,Hombres,2004,16,Cuenca,4002,1.0,0.0249875062468765
0-4 años,Hombres,2004,17,Girona,16515,11.0,0.0666061156524371
0-4 años,Hombres,2004,18,Granada,18125,34.0,0.1875862068965517
0-4 años,Hombres,2004,19,Guadalajara,5023,0.0,0.0
0-4 años,Hombres,2004,20,Gipuzkoa,16321,14.0,0.0857790576557809
0-4 años,Hombres,2004,21,Huelva,11768,6.0,0.0509857239972807
0-4 años,Hombres,2004,22,Huesca,4161,1.0,0.0240326844508531
0-4 años,Hombres,2004,23,Jaén,16362,16.0,0.0977875565334311
0-4 años,Hombres,2004,24,León,7125,9.0,0.1263157894736842
0-4 años,Hombres,2004,25,Lleida,8863,2.0,0.0225657226672684
0-4 años,Hombres,2004,26,La Rioja,6504,6.0,0.092250922509225
0-4 años,Hombres,2004,27,Lugo,4988,3.0,0.0601443464314354
0-4 años,Hombres,2004,28,Madrid,134805,222.0,0.1646823189050851
